iter	Accuracy	MultiClass
196	0.8804347826	0.4252919657
197	0.8804347826	0.4233127514
198	0.8858695652	0.4220963156
199	0.8913043478	0.4205466125
200	0.8913043478	0.4185904032
201	0.8913043478	0.4173635361
202	0.8940217391	0.4159948019
203	0.8913043478	0.414715502
204	0.8940217391	0.4124335057
205	0.8967391304	0.4111301143
206	0.8913043478	0.4093285644
207	0.8967391304	0.4079479553
208	0.8940217391	0.4068359974
209	0.8940217391	0.4051999232
210	0.8967391304	0.4045606035
211	0.8967391304	0.4029777954
212	0.8967391304	0.4017295161
213	0.902173913	0.3998885873
214	0.8967391304	0.3988514982
215	0.902173913	0.3971843636
216	0.902173913	0.3964457954
217	0.902173913	0.395125853
218	0.9048913043	0.3935348411
219	0.9048913043	0.3921894902
220	0.9048913043	0.390856194
221	0.9048913043	0.3903140979
222	0.9076086957	0.3890168504
223	0.910326087	0.3879297458
224	0.910326087	0.385593988
225	0.910326087	0.3845968743
226	0.910326087	0.3828958723
227	0.9076086957	0.3808182922
228	0.910326087	0.3793249117
229	0.910326087	0.3781649717
230	0.9130434783	0.376895296
231	0.9130434783	0.3742812525
232	0.9130434783	0.372975904
233	0.9184782609	0.3702052316
234	0.9184782609	0.3691328134
235	0.9184782609	0.3684518387
236	0.9184782609	0.3670440624
237	0.9184782609	0.3665173975
238	0.9157608696	0.3650848615
239	0.9157608696	0.3643425865
240	0.9184782609	0.3631006829
241	0.9211956522	0.3618770978
242	0.9184782609	0.3605828283
243	0.9184782609	0.3598565808
244	0.9184782609	0.359371491
245	0.9184782609	0.358879734
246	0.9184782609	0.3580192967
247	0.9184782609	0.3569065697
248	0.9184782609	0.3559139118
249	0.9239130435	0.3542568703
250	0.9266304348	0.3535373113
251	0.9239130435	0.3525615345
252	0.9266304348	0.3517074658
253	0.9293478261	0.3501301548
254	0.9266304348	0.3491993253
255	0.9293478261	0.3472822434
256	0.9293478261	0.3458914242
257	0.9293478261	0.3450078958
258	0.9293478261	0.3440341364
259	0.9293478261	0.343210572
260	0.9293478261	0.3418752066
261	0.9320652174	0.340917088
262	0.9320652174	0.3398118447
263	0.9320652174	0.3390510518
264	0.9320652174	0.3387075893
265	0.9320652174	0.3372851436
266	0.9320652174	0.3362810744
267	0.9347826087	0.3350622289
268	0.9375	0.3339044593
269	0.9402173913	0.332640523
270	0.9375	0.3312538693
271	0.9375	0.3299580611
272	0.9402173913	0.3286427242
273	0.9429347826	0.3275550513
274	0.9402173913	0.3267514382
275	0.9402173913	0.3262398963
276	0.9402173913	0.3251303369
277	0.9429347826	0.3241869724
278	0.9429347826	0.3233211319
279	0.9429347826	0.3225446255
280	0.9510869565	0.3219259443
281	0.9483695652	0.3210454131
282	0.9483695652	0.3200723528
283	0.9510869565	0.3194120309
284	0.9538043478	0.3177813535
285	0.9538043478	0.3165504608
286	0.9538043478	0.3158205689
287	0.9538043478	0.314768939
288	0.9538043478	0.3135987059
289	0.9538043478	0.3126438534
290	0.9538043478	0.3117885227
291	0.9538043478	0.3108471636
292	0.9565217391	0.3100491336
293	0.9565217391	0.3095779446
294	0.9538043478	0.3085254048
295	0.9565217391	0.3078472884
296	0.9565217391	0.3070417121
297	0.9565217391	0.30681969
298	0.9565217391	0.3059972068
299	0.9565217391	0.3051741383
300	0.9565217391	0.3045281658
301	0.9565217391	0.3039507545
302	0.9565217391	0.3030488604
303	0.9565217391	0.3025299486
304	0.9565217391	0.3017315778
305	0.9565217391	0.3006072145
306	0.9565217391	0.2990988264
307	0.9565217391	0.2981996386
308	0.9565217391	0.2970023578
309	0.9565217391	0.2963057643
310	0.9592391304	0.2954256837
311	0.9592391304	0.2946830338
312	0.9592391304	0.2938470483
313	0.964673913	0.292881954
314	0.9619565217	0.2924036185
315	0.964673913	0.2916472768
316	0.964673913	0.2910553595
317	0.964673913	0.2901745188
318	0.964673913	0.289534166
319	0.964673913	0.2886365054
320	0.964673913	0.2878207397
321	0.964673913	0.2875502268
322	0.964673913	0.2869634877
323	0.964673913	0.2861052534
324	0.964673913	0.2851926327
325	0.964673913	0.2846199429
326	0.964673913	0.2839311147
327	0.964673913	0.2827993144
328	0.9701086957	0.2823892353
329	0.9673913043	0.281953998
330	0.9701086957	0.2812355348
331	0.9701086957	0.2801073593
332	0.9701086957	0.279496936
333	0.9701086957	0.2787763316
334	0.9701086957	0.277873568
335	0.9701086957	0.2768529791
336	0.9701086957	0.2753926798
337	0.9701086957	0.2742107888
338	0.9701086957	0.2736098942
339	0.9701086957	0.2732174386
340	0.9701086957	0.2729127852
341	0.972826087	0.2714656416
342	0.972826087	0.2706830633
343	0.972826087	0.2704912239
344	0.972826087	0.2697641994
345	0.972826087	0.2690470217
346	0.972826087	0.2682155411
347	0.972826087	0.2675264982
348	0.9701086957	0.2666358592
349	0.9701086957	0.2659055749
350	0.9701086957	0.265350955
351	0.9701086957	0.2651634927
352	0.972826087	0.2642828596
353	0.9701086957	0.2640290061
354	0.9701086957	0.2636101904
355	0.972826087	0.263063897
356	0.972826087	0.2623260439
357	0.9701086957	0.2618197458
358	0.972826087	0.2608504053
359	0.972826087	0.2602300679
360	0.972826087	0.259817926
361	0.972826087	0.2588364238
362	0.972826087	0.2582994567
363	0.972826087	0.2580413498
364	0.9755434783	0.2574376242
365	0.9755434783	0.2570273442
366	0.9755434783	0.2568248034
367	0.9755434783	0.2564140762
368	0.9755434783	0.2558364435
369	0.9755434783	0.2552547047
370	0.9755434783	0.2543318539
371	0.9755434783	0.253972863
372	0.9755434783	0.2535815045
373	0.9755434783	0.2527561181
374	0.9755434783	0.2516800946
375	0.9755434783	0.2510071234
376	0.9755434783	0.2499779269
377	0.9755434783	0.2493254276
378	0.9755434783	0.2486315579
379	0.9755434783	0.2478849639
380	0.9782608696	0.2469738779
381	0.9782608696	0.2460758431
382	0.9782608696	0.2452648978
383	0.9782608696	0.2446201384
384	0.9782608696	0.243957649
385	0.9782608696	0.2433454686
386	0.9782608696	0.2431956783
387	0.9782608696	0.2428770325
388	0.9782608696	0.2425844375
389	0.9782608696	0.2422652447
390	0.9782608696	0.2418291293
391	0.9782608696	0.2410714189
392	0.9782608696	0.2403827867
393	0.9782608696	0.240139222
394	0.9782608696	0.2393213413
395	0.9782608696	0.2386091566
396	0.9782608696	0.2383993182
397	0.9782608696	0.2378539904
398	0.9782608696	0.2375133928
399	0.9782608696	0.2371073329
400	0.9782608696	0.2367591279
401	0.9782608696	0.236256285
402	0.9782608696	0.2357474231
403	0.9782608696	0.2350527197
404	0.9782608696	0.2348199991
405	0.9782608696	0.2345926548
406	0.9782608696	0.2342814487
407	0.9782608696	0.2334147874
408	0.9782608696	0.2330190162
409	0.9782608696	0.2327070492
410	0.9782608696	0.2324830094
411	0.9782608696	0.2321913112
412	0.9782608696	0.2316543992
413	0.9782608696	0.2312423163
414	0.9782608696	0.23046598
415	0.9782608696	0.2297907978
416	0.9782608696	0.2288564502
417	0.9809782609	0.2283136966
418	0.9782608696	0.2279893548
419	0.9809782609	0.227438132
420	0.9809782609	0.2272679407
421	0.9782608696	0.2266948195
422	0.9809782609	0.2263204872
423	0.9809782609	0.2260354835
424	0.9809782609	0.2254740871
425	0.9809782609	0.2247224606
426	0.9809782609	0.224252359
427	0.9809782609	0.2238699044
428	0.9809782609	0.2231061604
429	0.9836956522	0.2222949062
430	0.9809782609	0.2220283661
431	0.9809782609	0.2218575229
432	0.9836956522	0.2213921412
433	0.9836956522	0.2210172158
434	0.9836956522	0.2208877395
435	0.9836956522	0.2202173562
436	0.9864130435	0.2199375767
437	0.9864130435	0.2197746787
438	0.9864130435	0.2195886767
439	0.9864130435	0.2188310162
440	0.9864130435	0.218420227
441	0.9864130435	0.2182897558
442	0.9864130435	0.217941436
443	0.9864130435	0.2177056783
444	0.9864130435	0.2171694241
445	0.9864130435	0.2166878049
446	0.9864130435	0.216120184
447	0.9864130435	0.2159801265
448	0.9864130435	0.2154982998
449	0.9864130435	0.2148245415
450	0.9864130435	0.2144286592
451	0.9864130435	0.2140938362
452	0.9864130435	0.2138922892
453	0.9864130435	0.2137694865
454	0.9864130435	0.2130619966
455	0.9864130435	0.212271234
456	0.9864130435	0.2117722777
457	0.9864130435	0.2112867365
458	0.9864130435	0.2111465097
459	0.9864130435	0.2105343401
460	0.9864130435	0.2098335111
461	0.9864130435	0.2092224754
462	0.9864130435	0.2085160341
463	0.9864130435	0.2081320025
464	0.9864130435	0.20745891
465	0.9864130435	0.2067516096
466	0.9864130435	0.2063232794
467	0.9864130435	0.2056660841
468	0.9864130435	0.2054787036
469	0.9864130435	0.2048790661
470	0.9864130435	0.2043299444
471	0.9891304348	0.20367727
472	0.9864130435	0.2032592012
473	0.9864130435	0.2030349581
474	0.9864130435	0.2025629735
475	0.9864130435	0.2021750437
476	0.9864130435	0.2020267769
477	0.9864130435	0.2017526922
478	0.9891304348	0.2012271416
479	0.9891304348	0.2007489028
480	0.9891304348	0.2003932649
481	0.9891304348	0.1998498244
482	0.9891304348	0.1993296362
483	0.9891304348	0.1985455594
484	0.9891304348	0.1984009214
485	0.9891304348	0.1981007552
486	0.9891304348	0.1979458726
487	0.9891304348	0.1977753175
488	0.9891304348	0.1970756631
489	0.9891304348	0.1965210129
490	0.9891304348	0.1958701763
491	0.9891304348	0.1956500487
492	0.9891304348	0.1951469174
493	0.9891304348	0.1944634316
494	0.9891304348	0.1941638745
495	0.9891304348	0.193754635
496	0.9891304348	0.1934033664
497	0.9891304348	0.1929871284
498	0.9891304348	0.1929039731
499	0.9891304348	0.191986908
